,0,1
411,계단,18
412,이어지다,18
413,별채,18
414,현재,18
415,진행,18
416,미학,18
417,낮다,18
418,푸르르다,18
419,전망,18
420,휴양지,18
421,느리다,18
422,너머,18
423,마루,18
424,반기다,18
425,부부,17
426,정취,17
427,라운지,17
428,연결,17
429,골목,17
430,간직,17
431,대여,17
432,반신,17
433,하이라이트,17
434,얻다,17
435,편의점,17
436,신혼여행,17
437,인기,17
438,히노끼탕,17
439,멍,17
440,요기,17
441,가까이,16
442,머신,16
443,갤러리,16
444,소박,16
445,세,16
446,멀다,16
447,넘치다,16
448,즐겁다,16
449,충분히,16
450,향기,16
451,복층,16
452,산책로,16
453,자세,16
454,제주특별자치도,16
455,재미,16
456,자유,16
457,애,16
458,제외,16
459,컨셉,16
460,세트,16
461,기장,16
462,소나무,16
463,풀벌레,16
464,오션,16
465,고스란,16
466,글,16
467,다락,16
468,곡,15
469,크기,15
470,명소,15
471,촬영,15
472,시골집,15
473,스타일,15
474,최근,15
475,느긋,15
476,새,15
477,나가다,15
478,화이트톤,15
479,의자,15
480,편백,15
481,규모,15
482,좋아하다,15
483,타입,15
484,요금,15
485,용품,15
486,코,15
487,툇마루,15
488,면,15
489,텐트,15
490,틈,15
491,어느새,15
492,사이트,15
493,파,15
494,파크,15
495,블루,15
496,올,15
497,분리,14
498,차분,14
499,어울리다,14
500,보존,14
501,갯벌,14
502,트다,14
503,드넓다,14
504,치다,14
505,주택가,14
506,개조,14
507,턴테이블,14
508,넷플릭스,14
509,생활,14
510,서비스,14
511,치,14
512,비용,14
513,굽다,14
514,오붓,14
515,개인,14
516,깊다,14
517,포함,14
518,클럽,14
519,커다랗다,14
520,반려,14
521,자랑,14
522,조합,14
523,코로나,14
524,산속,14
525,색다르다,14
526,캠프,14
527,가든,14
528,초반,14
529,맞이,13
530,주차,13
531,기존,13
532,개방,13
533,평상,13
534,이루다,13
535,프리미엄,13
536,데크,13
537,설치,13
538,뒷마당,13
539,쇼파,13
540,성인,13
541,깨끗,13
542,완료,13
543,종로구,13
544,옥상,13
545,침구,13
546,무드,13
547,여러,13
